드래곤 길들이기,https://movie-phinf.pstatic.net/20190102_130/1546395842249fT9Ei_JPEG/movie_image.jpg?type=m203_290_2,9.33,"['애니메이션', '모험', '코미디', '가족', '판타지']","['드래곤', '영화', '최고', '기술', '캐릭터', '수', '애니메이션', '개성', '드림웍스', '컵', '바이킹', '등', '가장', '영상', '작품']",딘 데블로이스,"['제이 바루첼', '제라드 버틀러', '아메리카 페레라', '크레이그 퍼거슨', '조나 힐']"
다크 나이트,https://movie-phinf.pstatic.net/20170608_209/1496886337035SDPLy_JPEG/movie_image.jpg?type=m203_290_2,9.33,"['액션', '범죄', '드라마', '미스터리']","['배트맨', '조커', '다크', '나이트', '영화', '카메라', '수', '수트', '등장', '촬영', '웨인', '담시', '위해', '장면', '또한']",크리스토퍼 놀란,"['크리스찬 베일', '히스 레저', '아론 에크하트', '마이클 케인', '매기 질렌할']"
울지마 톤즈,https://movie-phinf.pstatic.net/20111223_289/1324622149942dtKyL_JPEG/movie_image.jpg?type=m203_290_2,9.33,['다큐멘터리'],"['톤즈', '눈물', '수단', '딩카족', '마을', '남자', '신부', '아버지', '남', '사진', '이태석', '사람', '모든', '가장', '선두']",구수환,"['이금희', '이태석']"
폴란드로 간 아이들,https://movie-phinf.pstatic.net/20181004_63/1538615669479nezAh_JPEG/movie_image.jpg?type=m203_290_2,9.32,"['다큐멘터리', '드라마']","['폴란드', '아이', '전쟁', '한국', '추상미', '사랑', '선생님', '감독', '영화제', '실화', '영화', '북한', '역사', '비밀', '상처']",추상미,"['이송', '추상미', '욜란타 크리소바타', '요제프 브로비치', '스타니스와프 바할']"
트루먼 쇼,https://movie-phinf.pstatic.net/20181030_24/1540878641446PBOcp_JPEG/movie_image.jpg?type=m203_290_2,9.33,"['코미디', '드라마', 'SF']","['트루먼', '모든', '라디오', '하루', '섬', '회사원', '버뱅크', '하나', '모시', '회사', '인생', '과연', '삶', '아버지', '수']",피터 위어,"['짐 캐리', '에드 해리스', '로라 리니', '노아 엠머리히', '나타샤 맥켈혼']"
미세스 다웃파이어,https://movie-phinf.pstatic.net/20111222_82/1324538552665F1zbw_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['코미디', '가족', '드라마']","['다니엘', '미란다', '아이', '로서', '파이어', '못', '미세', '가족', '생활', '가정부', '현실', '장점', '할머니', '거리', '방문']",크리스 콜럼버스,"['로빈 윌리엄스', '샐리 필드', '피어스 브로스넌', '하비 피어스타인', '폴리 홀리데이']"
알라딘,https://movie-phinf.pstatic.net/20170418_64/1492495808221lgtrR_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['애니메이션', '뮤지컬', '코미디', '가족', '모험', '드라마', '멜로/로맨스']","['알라딘', '램프', '지니', '동굴', '아그라', '자스민', '위기', '술탄', '마법', '탈출', '자', '눈', '말', '아부', '궁궐']",존 머스커,"['스콧 와인거', '로빈 윌리엄스', '린다 라킨', '조나단 프리먼', '프랭크 웰커']"
더 록,https://movie-phinf.pstatic.net/20111221_286/1324471145026nKaBX_JPEG/movie_image.jpg?type=m203_290_2,9.32,['액션'],"['카트', '알', '메이슨', '라즈', '침투', '정치인', '미사일', '영국', '네이비', '굿', '공수', '샌프란시스코', '발탁', '하나', '호소']",마이클 베이,"['숀 코네리', '니콜라스 케이지', '에드 해리스', '마이클 빈', '윌리엄 포사이스']"
아이언 자이언트,https://movie-phinf.pstatic.net/20190826_143/1566796598455I2Amf_JPEG/movie_image.jpg?type=m203_290_2,9.32,"['애니메이션', 'SF', '액션', '가족']","['가드', '자이언트', '소년', '깃', '불시', '숲속', '이야기', '수', '시골', '시작', '겉모습', '달리', '영혼', '우정', '과연']",브래드 버드,"['제니퍼 애니스톤', '엘리 마리엔탈', '해리 코닉 주니어', '빈 디젤', '크리스토퍼 맥도날드']"
라푼젤,https://movie-phinf.pstatic.net/20170418_162/1492497182954jDK7m_JPEG/movie_image.jpg?type=m203_290_2,9.33,"['애니메이션', '코미디', '가족', '판타지', '뮤지컬', '멜로/로맨스']","['라푼젤', '세상', '자신', '탑', '엄마', '못', '꿈', '군기', '맥시머스', '모험', '점점', '만점', '경비', '날', '위협']",네이슨 그레노,"['맨디 무어', '제커리 레비', '도나 머피', '론 펄먼', 'M.C. 게이니']"
